GTCBSA,ALL_fpll,SOCIAL_fpll,CARE_fpll,K1_deaths,K2_deaths,K3_deaths,K1_cases,K2_cases,K3_cases,LOG_POP,%_REPUBLICAN,%_DEMOCRAT,%_OTHER_VOTES,%_GREEN,%_LIBERTARIAN,Perc.Native,workplace_close_H,stay_at_home_H,school_closing_H,cancel_events_H,close_transit_H,movement_restriction_H
12260,0.325509176,0.281364302,0.115672986,0.209038605,0.019218534,0.009174065,0.349723732,0.045885066,0.011937325,5.777873213,0.518427535,0.467326543,0.000250109,0.001072384,0.012923429,54.9,1,0.325588377,0.324537827,0.930895528,0,1
12300,0,0,0,0.150120294,0,0.049939144,0.226911707,0.006319363,0.037078235,5.085479671,0.478151897,0.480644495,0.011788198,0.010053019,0.019362391,72.1,1,1,0.963265306,1,1,1
12380,0,0,0,0.057762265,0.057923587,0.057577797,0.323289697,0.030532768,0.015325474,4.599959449,0.518221763,0.460015508,0.01018351,0.002429568,0.009149651,0,1,1,0.044897959,1,0.171428571,1
12420,0.100989598,0.093630252,0.010680373,0.212522948,0.031549549,0.015854531,0.55071814,0.050461996,0.010766235,6.325195571,0.35621807,0.624384538,0.000669396,0.003282781,0.015445215,62.8,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
12460,0,0,0,0.079335951,0.023356164,0.006888845,0.284005475,0.040852202,0.009635586,4.42621838,0.581233336,0.411112067,0,0,0.007654597,0,1,0,0.297959184,1,0,1
12540,0.190185089,0.159941238,0.012936596,0.087878931,0.027753944,0.011246951,0.382557133,0.067286869,0.015824508,5.948237354,0.538775992,0.436847346,0.007946491,0.003517943,0.012912228,83.1,0.028571429,0.832653061,0.4,0.485714286,0,0.991836735
12580,0.131400054,0.117867685,0.018240971,0.438575956,0.011267601,0.008391968,0.355486075,0.01057762,0.012219091,6.446651007,0.356545343,0.616757089,0.009005706,0.004542534,0.013149328,65.5,0.812244898,0.697959184,0.355102041,0.253061224,0.355102041,0.926530612
12620,0.228287867,0.228287867,0.03800938,0,0,0.115753656,0.212522948,0.010663772,0,5.18119738,0.520416101,0.437846122,0.011551902,0.008661024,0.021524851,70.6,1,1,0.963265306,1,1,1
12660,0,0,0,0.123776282,0,0.082360412,0.25713499,0.058548555,0,4.805650355,0.483192001,0.500179543,0.004032815,0.00041433,0.012181311,0,0.375510204,0.946938776,0.048979592,0.048979592,0,0.946938776
12680,0,0,0,0,0,0.038818409,0.117629206,0.05057448,0,4.659440782,0.675543128,0.309227791,0.00369972,0,0.011529361,0,0.897959184,0.771428571,0.612244898,1,0,1
